Review,Sentiment
Great service & great food,1
"Terbaik, sedap, murahhhhh",1
"Makan Nasi Goreng Raja entah apa Rasa la, udang dah lama, lembik jer. Sotong pakai yg frozen dah rasa cam mkn getah jer.",0
tomyam golok memang terbaikk,1
Agak2 la lepas ni nak menipu pun. Bukan aku tak selalu makan kedai ni. Amaun RM53.80 kau pergi mark up sampai RM74.80. Resit tak bagi.  memang last la aku datang sini.Kalau aku tak double check  mintak resit memang kau telan macam tu jela duit aku. Korang yang nak datang sini make sure mintak resit k. Ada sorang bro kat cashier tu menipu. Hati2,0
"Service slow as f. Belum lagi customer service dorang. Takda senyum, takda maaf, bila kita panggil order, takda orang nak datang. Lalu lalang je sebelah kami tapi ambik order pun tak. Senang cerita, kalau nak cepat jangan makan sini, kalau jenis tak boleh nak hadap perangai pekerja macam ni, elok lah jangan makan sini. Boleh tambah dosa kering mencarut dalam hati. Boleh buat darah tinggi jugak.",0
"nasi goreng golok masin. lebih 40 minit tggu makanan sampai. for me, staff rude, cust tggu makan lama tp tak ada cakap sorry. n bila complain cakap tunggu makanan lama, staff cakap standard setngh jam tnggu makanan. for me, kita beli makan semua pakai duit. nasi goreng rm10. i bukan nak marah, but maybe u guys should change your service. i mean not to fast , tapi biar lambat, asalkan puas hati & staff friendly. sorry fr this comment but my family really disappointed. it's oka… See more",0
suka nasi goreng tomyam kt sini.. padu..  xbyk kedai boleh buat mcm yg kena ngn tekak..,1
"Great food, Cheap eats",1
"This cozy restaurant has left the best impressions! Hospitable hosts, delicious dishes, beautiful presentation, and wonderful dessert. I recommend to everyone! I would like to come back here again and again.",1
"great food , nice place to be with family. top service",1
nasi talam is the best with big portion!,1
The staff was friendly.... n the food was good,1
"Their taste are delightful
Recommended place for hang-out & celebration occasion",1
"The best arabic taste in town, but I would love if u can provide arabic tea in a pot.",1
Large portions and tasty,1
Good taste with big portion..,1
"staf x alert
booking siap tmph byr on9.. nk g ambk kabo xdk order.. dh lh xdk order blh plk stf duk musing2, 1/2 jam tngu bru kabo order xdk tu pn kene sbb stf kene maroh d bos ye.. 40 mnit duk tngu.. order nasi arab mandy & kamsah tp tgk mcm saloh je tp biarlh.. air pn x bg.. npk x die pnye servis tu gane.. klu org femes je kot ye lyn bagus..",0
"kawan saya order lamb kabsah, saya order lamb madghut, and we ordered adani tea in pot dan olive salad. Daging lamb sedap tapi nasik agak mengecewakan. Yang paling tak menyeronokan adalah attitude waiter. Lain kali kalau bahan tak ada jangan paksa customer makan benda yang tak diorder. Datang meja customer dulu bagitahu olive tak ada, then tak payah nak translate olive tu apa. Perli² pulak. Saya ada hak untuk cancel salad Arab yang penuh kobis serta sedikit tomato tu..tak payah bawak piring salad Arab ke belakang and perli perli bergelak ketawa zaiton mana zaiton. Mana datang perangai pelayan kedai begini ya. Maaf I cannot recommend your restaurant to my family or friends until your staff diajar manner kerja di kedai makan yang betul",1
new look for people Kuala Terengganu feel in arab country,1
"Order mandy ayam minta bahagian paha dan thigh... Kata staff ok.. Last last  dpt wing...kena lebong",0
"Tukang masak tiba-tiba letak reserve di meja yang sedang diduduki dengan alasan busy, busy, busy...Baik pergi kedai lain. Servis yang teruk",0
"Nasi Mandy Roasted Chicken sedap gile..hilang rindu makan dekat thaif mekah. 
In Shaa Allah nak bwk mak ayah lagi",1
sedap murah n berbaloi..recommended,1
puas hati..menu best..daging kambing lembut..order pun cepat,1
Good taste dan murah. Berbaloi datang makan sini,1
nikmat x terkata....ingt arab ingt restaurant aroma arab global...,1
Highly recommended... Nasi Mandy the best....harga murah,1
highly recommended. harga murah. makanan sedap,1
Makanan sedap. Harga mampu makan. Suasana restoran yg bersih dan selesa.,1
Sedap dan murah mmg kena citarasa,1
sedap..mkn x habis sbb byk sgt.staf mesra..,1
Harganya rasanya berbaloi,1
"Staff friendly, makanan sdap & big portion ",1
Tolak saja daun pintu aroma Arab mula dapat rasa. Arab tea nya terasa segar memenuhi ruang mulut.,1
"Nasi mandy & khabshah mmg sedap...
Shawarma pun sedap...
Kebab ayam ke.. kambing ke... juga sedappp...
Roti muhlawanya dgn kuah kambing pun sedap... sedappp...  sedapppppppp... kena dgn selera... 
Pendek kata semua kena ngan selera kami... 
Alhamdulillah 👍👍👍
Tahniah Restauran Aroma Arab Global..👏🏻👏🏻👏🏻
Nanti lps ni, kena pergi lagi...😍😍😍",1
"family mix grill 👍🏻 , suasana dalaman sgt selesa",1
sedap...murah... suasana kedai pun aircond...selesa. must try..,1
"Baru makan petang tadi. Alhamdulillah puas hati. Murah, portion besar n sedap! Makan set 4pax, tapi banyak lagi lebih.. Siap bungkus bwak balik. Boleh makan 6 org. Salona + roti gedabak besar pun sedap! In sha Allah memang akan repeat. Good job team aroma arab. Semoga sukses ",0
murah dan sedap. mesti pergi,1
"excellent food throughout!",1
Highly recommended for those who like Chinese cuisines and halal!! This is my 2nd time having dinner while visits Terengganu.....Come laaa...,1
"Went to eat here last night and the food was delicious. We had the Nyonya Steamed Fish, Soft-shell crab with salted egg batter, kailan with salted fish, Sotong celup tepung, Tom yam soup, Santan prawn and mango kerabu. Will definitely recommend this restaurant to friends and family.",1
"very horrible customer service
highly not recommended for dine in",0
"ikan 3 rase,daging black pepper marohhhhh 😁 rugi x try sepmungggggg",1
"Order nasi ayam teriyaki. Tak sedap langsung. Pakai sos kicap. Tang mana teriyaki",0
makanan sedap..tempat pn bersih..recomended,1
Bad customer service. Definitely wont come back,0
one of the best green curry in kuala terengganu! 4th times here and definitely will repeat again and again for authentics thai food. beef noodles soup is my wife's favourite. thank you for your good service.,1
Simple menu but all delicious,1
"poor service , tunggu sampai sejam makanan tak sampai lagi , atleast mintaklah sorry dekat customer nih apa pun tak",0
"The special food and drinks, atmosphere and the hospitality of the staff make us feel comfortable and enjoy the great food more.",1
